Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS▼,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
184,J.C. Mejia,24,CLE,AL,1,7,0.125,8.25,17,11,1,0,0,0,52.1,60,48,48,13,24,0,47,3,2,2,238,53,6.15,1.605,10.3,2.2,4.1,8.1,1.96
185,David Price*,35,LAD,NL,5,2,0.714,4.03,39,11,5,0,0,1,73.2,79,35,33,8,26,2,58,4,0,1,326,102,4.23,1.425,9.7,1,3.2,7.1,2.23
186,Matt Shoemaker,34,MIN,AL,3,8,0.273,8.06,16,11,4,0,0,0,60.1,73,56,54,15,27,1,40,3,0,1,284,53,6.57,1.657,10.9,2.2,4,6,1.48
187,Kohei Arihara,28,TEX,AL,2,4,0.333,6.64,10,10,0,0,0,0,40.2,45,31,30,11,13,0,24,4,0,1,178,66,6.76,1.426,10,2.4,2.9,5.3,1.85
188,Jose Quintana*,32,TOT,MLB,0,3,0,6.43,29,10,5,0,0,0,63,74,50,45,12,35,1,85,1,1,7,297,69,4.66,1.73,10.6,1.7,5,12.1,2.43
189,Drew Rasmussen,25,TOT,MLB,4,1,0.8,2.84,35,10,9,0,0,1,76,57,27,24,5,25,2,73,0,0,4,307,143,3.09,1.079,6.8,0.6,3,8.6,2.92
190,Touki Toussaint,25,ATL,NL,3,3,0.5,4.5,11,10,1,0,0,0,50,43,28,25,11,22,1,48,6,0,2,216,99,5.79,1.3,7.7,2,4,8.6,2.18
191,Spenser Watkins,28,BAL,AL,2,7,0.222,8.07,16,10,4,0,0,0,54.2,74,50,49,14,19,0,35,2,0,4,255,57,6.37,1.701,12.2,2.3,3.1,5.8,1.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
